user_id,course_id,update_time,collect_status,commit_status,duration,click_times,score
12476100000000.0,1940920000000000.0,30/5/2020 12:05:14,NO,NO,170,2,100
9036610000000.0,153686000000000.0,25/4/2018 13:03:43,NO,NO,271,0,0
3918890000000.0,1320460000000000.0,30/6/2020 15:59:52,NO,NO,195,4,100
3167410000000.0,1558860000000000.0,23/9/2020 13:26:31,NO,NO,245,2,99
18416900000000.0,1857840000000000.0,27/12/2017 00:46:13,NO,NO,212,2,75
3455180000000.0,1.29047e+18,19/9/2020 23:49:02,NO,NO,285,1,0
3167410000000.0,1330860000000000.0,17/12/2019 10:36:10,NO,NO,169,3,100
20404100000000.0,1200720000000000.0,10/6/2020 09:38:23,NO,NO,200,3,100
14593600000000.0,1866080000000000.0,28/5/2020 15:23:29,NO,NO,40,1,0
10890400000000.0,1.27344e+18,24/6/2020 04:40:33,NO,NO,350,3,20
7057200000000.0,1.21884e+18,15/4/2020 09:00:21,NO,YES,193,2,0
3062300000000.0,1500870000000000.0,21/9/2019 08:35:41,NO,NO,37,2,100
9230270000000.0,1556250000000000.0,11/6/2020 07:00:53,NO,NO,285,2,66
12234800000000.0,1.10826e+18,20/5/2019 00:08:20,NO,NO,10347,3,100
10890400000000.0,1462100000000000.0,27/9/2019 14:47:06,NO,NO,538,3,100
7900920000000.0,1841970000000000.0,11/8/2020 14:26:39,NO,NO,250,2,70
2809700000000.0,1309790000000000.0,4/11/2020 12:39:09,NO,NO,1195,2,0
6666900000000.0,1.29389e+18,25/8/2020 07:47:36,NO,NO,290,8,70
8481840000000.0,1892210000000000.0,17/12/2019 01:18:45,NO,NO,25,2,100
2234720000000.0,464906000000000.0,5/11/2019 13:55:03,NO,YES,1200,2,0
3062300000000.0,1379560000000000.0,9/11/2020 08:45:35,NO,NO,170,3,67
16799000000000.0,1781300000000000.0,16/12/2019 05:29:44,NO,NO,77,2,100
9036610000000.0,1900780000000000.0,14/10/2019 11:00:21,NO,NO,149,2,100
19710600000000.0,1567970000000000.0,25/2/2020 04:53:16,NO,NO,16,3,70
19713900000000.0,154522000000000.0,26/2/2020 12:01:52,NO,NO,6485,3,100
1453630000000.0,181134000000000.0,4/12/2018 16:15:51,NO,NO,25545,1,0
18261800000000.0,1675110000000000.0,9/7/2018 23:44:10,NO,NO,351,2,100
1453630000000.0,398345000000000.0,15/12/2019 04:08:28,NO,NO,1950,1,0
5411690000000.0,1933670000000000.0,28/2/2020 08:55:19,NO,NO,55,4,100
3198400000000.0,1206680000000000.0,16/3/2018 09:23:43,NO,NO,168,0,0
15570300000000.0,637875000000000.0,30/9/2018 00:36:58,NO,NO,1115,12,0
3794100000000.0,1669890000000000.0,24/4/2018 12:58:57,NO,NO,273,2,100
7533880000000.0,299983000000000.0,7/1/2020 09:57:10,NO,NO,2075,2,0
11375800000000.0,1911530000000000.0,13/6/2020 03:26:47,NO,NO,315,2,66
6505650000000.0,113848000000000.0,13/10/2019 02:40:27,NO,NO,17,2,100
16016600000000.0,1247960000000000.0,14/11/2019 01:01:01,NO,NO,70,2,100
6686860000000.0,1.26085e+18,23/9/2020 11:35:29,NO,NO,96,5,0
16864000000000.0,1498790000000000.0,18/5/2019 06:13:42,NO,NO,298,2,100
5470760000000.0,1.24781e+18,30/9/2020 12:52:23,NO,NO,1130,3,100
16204800000000.0,1678010000000000.0,9/6/2019 23:40:15,NO,NO,258,0,0
2828970000000.0,1119150000000000.0,25/3/2019 10:18:00,NO,NO,28,4,67
5820650000000.0,1894440000000000.0,12/12/2019 06:23:22,NO,NO,68,2,67
16884100000000.0,153958000000000.0,14/10/2018 02:17:34,NO,NO,0,1,0
16975100000000.0,1780970000000000.0,26/7/2019 03:43:32,NO,NO,125,5,100
2042110000000.0,1.24491e+18,23/8/2020 03:52:30,NO,NO,178,2,0
2809700000000.0,1.31057e+18,27/10/2020 10:30:36,NO,NO,255,2,100
16022300000000.0,173915000000000.0,23/3/2018 07:03:51,NO,NO,193,2,100
12936500000000.0,768518000000000.0,16/11/2019 08:16:16,NO,NO,1645,1,0
16692400000000.0,1153080000000000.0,4/6/2018 11:31:36,NO,NO,133,3,67
7941080000000.0,1845680000000000.0,11/2/2020 06:15:40,NO,NO,628,5,100
3195220000000.0,143622000000000.0,25/5/2018 03:27:41,NO,NO,497,2,60
14973000000000.0,1899940000000000.0,3/9/2017 10:27:44,NO,NO,2159,7,0
19710600000000.0,1471150000000000.0,15/9/2017 14:38:51,NO,NO,905,0,0
5820650000000.0,1.27573e+18,30/6/2020 07:24:39,NO,NO,580,2,100
4009130000000.0,1853460000000000.0,21/2/2019 03:00:18,NO,NO,395,5,100
14973000000000.0,1433980000000000.0,3/4/2019 12:07:25,NO,NO,1284,0,0
18710800000000.0,820357000000000.0,12/10/2018 00:54:07,NO,NO,0,1,0
9658380000000.0,1924360000000000.0,12/2/2020 08:29:23,NO,NO,409,2,100
16468600000000.0,1985200000000000.0,25/11/2019 14:00:05,NO,NO,7,0,0
2502020000000.0,688125000000000.0,7/12/2019 23:24:41,NO,NO,885,1,0
2502020000000.0,395117000000000.0,24/12/2019 06:07:39,NO,NO,870,3,0
3794100000000.0,1912980000000000.0,8/3/2019 10:05:05,NO,NO,1958,6,0
13972300000000.0,175935000000000.0,8/7/2020 07:54:06,YES,YES,195,3,100
14065600000000.0,1153080000000000.0,26/12/2017 10:56:22,NO,NO,93,2,100
12069000000000.0,1879460000000000.0,28/6/2019 05:53:34,NO,NO,49,0,0
9201260000000.0,1743870000000000.0,15/3/2019 07:07:14,NO,NO,17,2,66
7466020000000.0,1593880000000000.0,31/3/2020 02:43:37,NO,NO,23,3,70
9497790000000.0,1.31092e+18,30/9/2020 12:47:25,NO,NO,205,2,67
9658380000000.0,1805320000000000.0,26/2/2020 07:32:23,NO,NO,232,2,100
10161200000000.0,540215000000000.0,25/12/2019 22:31:25,NO,NO,2420,2,0
6505650000000.0,1177650000000000.0,20/11/2019 13:03:04,NO,NO,195256,3,100
19710600000000.0,1983700000000000.0,16/10/2017 10:24:32,NO,NO,316,4,80
9036610000000.0,1492780000000000.0,29/3/2020 12:25:45,NO,NO,134,2,100
16058400000000.0,1506180000000000.0,30/6/2020 12:11:46,NO,NO,250,3,0
9230270000000.0,1666090000000000.0,11/6/2020 07:41:45,NO,NO,390,2,66
9658380000000.0,1393830000000000.0,28/8/2018 03:21:10,NO,NO,878,2,100
4646050000000.0,770545000000000.0,22/12/2019 11:19:18,NO,NO,1145,1,0
5552340000000.0,1749540000000000.0,20/12/2019 15:23:53,NO,NO,45,3,100
18381500000000.0,1508670000000000.0,9/8/2018 23:27:14,NO,NO,666,2,60
5913620000000.0,126765000000000.0,1/11/2017 03:05:48,NO,NO,471,2,100
12860400000000.0,1661340000000000.0,2/3/2019 02:34:15,NO,NO,15,2,67
5574110000000.0,566291000000000.0,3/8/2019 04:53:14,NO,NO,788,1,0
10925700000000.0,1207470000000000.0,21/5/2019 06:04:05,NO,NO,254,2,0
5431800000000.0,1274900000000000.0,23/6/2020 06:48:25,NO,NO,405,3,33
7604030000000.0,1970650000000000.0,22/3/2019 01:16:25,NO,NO,121,3,67
2748690000000.0,1.26294e+18,29/6/2020 03:09:25,NO,NO,505,1,0
12846800000000.0,1854920000000000.0,28/6/2020 11:54:48,YES,NO,130,4,66
6686860000000.0,1.25352e+18,23/9/2020 13:00:00,NO,NO,63,3,0
17748300000000.0,111390000000000.0,15/3/2019 03:31:21,NO,NO,143,2,33
2809700000000.0,1759490000000000.0,11/11/2020 06:01:15,NO,NO,290,3,99
